,importance,std
residual_load,24.868336934593806,0.25839931672559374
price_roll168_mean,4.828621377341452,0.052269937067307856
price_roll168_std,1.839518500788183,0.10513713746038383
hour,0.6004131872102917,0.02807610457290661
spike_freq_168,0.570263458502992,0.016076203509821585
price_lag_24,0.44313017649670383,0.028023355053638795
month,0.3855447064147356,0.025944595412344826
dow,0.18900066558988088,0.012467466770157493
Solar,0.18735741841561762,0.016294580707500114
unplanned_mw_offline_dispatchable,0.1766859607472945,0.0161775614345478
load_fc,0.01471648950882667,0.0262104326844687
price_lag_168,0.010609944147090999,0.00837856512748102
is_holiday,0.0,0.0
is_weekend,0.0,0.0
Wind Onshore,-0.01169177859986661,0.006500070954538062
renewables_fc,-0.02741540478064337,0.005989878833551099
Wind Offshore,-0.09909271101345637,0.011853521259743064
price_roll24_std,-0.19756970581469488,0.0085220922183296
